Code	Grn	GrnX	GrnY
10040	58	2229.512	1356.449
10040	24	2229.473	1361.652
10040	52	2229.48	1367.596
10040	71	2229.488	1373.54
10040	46	2229.528	1379
10040	33	2229.538	1385.452
10040	74	2229.512	1391.371
10040	87	2229.54	1397.42
10040	37	2229.687	1403.65
10040	44	2229.535	1409.202
10040	29	2229.543	1415.145
10040	39	2229.551	1421.089
10044	516	2229.559	1427.033
10044	537	2229.567	1432.976
10044	556	2229.575	1438.92
10044	481	2229.341	1444.701
10044	325	2229.591	1450.807
10044	449	2229.598	1456.751
10044	380	2229.606	1462.695
10044	476	2229.614	1468.638
10044	300	2229.622	1474.582
10044	775	2229.63	1480.526
10044	591	2229.638	1486.469
10044	295	2229.646	1492.413
10044	921	2229.654	1498.357
10044	388	2229.669	1510.244
10044	242	2229.677	1516.188
10044	527	2229.669	1522.322
10044	486	2229.693	1528.075
10044	358	2229.701	1534.019
10044	507	2229.709	1539.962
10044	529	2229.717	1545.906
10044	368	2229.494	1552
10044	349	2229.732	1557.793
10044	565	2229.74	1563.737
10044	374	2229.748	1569.681
10044	536	2229.756	1575.624
10048	1851	2229.764	1581.568
10048	1868	2229.772	1587.512
10048	1984	2229.78	1593.455
10048	2096	2229.787	1599.399
10048	2168	2229.795	1605.343
10048	1816	2229.803	1611.286
10048	2047	2229.811	1617.23
10048	1484	2229.819	1623.174
10048	1828	2229.827	1629.117
10048	1959	2229.835	1635.061
10048	1815	2229.873	1640.875
10048	1549	2229.85	1646.948
10048	2039	2229.858	1652.892
10050	783	2229.866	1658.836
10050	655	2230.324	1664.332
10050	706	2229.882	1670.723
10050	777	2229.89	1676.667
10050	681	2229.898	1682.61
10050	883	2229.906	1688.554
10050	645	2229.913	1694.498
10050	987	2229.98	1700.491
10050	642	2230.014	1706.504
10050	757	2229.937	1712.329
10050	1007	2229.708	1718.346
10050	785	2229.953	1724.216
10050	864	2230.293	1730.612
10050	841	2229.976	1742.047
10050	1211	2229.984	1747.991
10050	596	2229.992	1753.934
10050	607	2230	1759.878
10050	510	2229.992	1765.49
10050	893	2230.016	1771.766
10050	781	2230.023	1777.709
10053	205	2230.031	1783.653
10053	43	2230.039	1789.596
10053	64	2230.047	1795.54
10053	62	2230	1801.455
10053	25	2230.063	1807.427
10053	50	2230.071	1813.371
10053	43	2230.079	1819.315
10053	80	2229.994	1825.505
10053	38	2230.094	1831.202
10053	74	2230.102	1837.146
10053	86	2230.11	1843.089
10053	82	2230.514	1849
10053	52	2230.126	1854.977
10053	53	2230.134	1860.921
10053	37	2230.347	1866.683
10053	56	2230.149	1872.808
10053	60	2230.157	1878.752
10053	40	2230.5	1884.988
10059	34	2230.173	1890.639
10059	55	2230.181	1896.583
10059	128	2230.189	1902.526
10059	67	2230.497	1908.525
10059	48	2230.317	1920.342
10059	52	2230.244	1944.132
10059	29	2230.252	1950.076
10059	34	2230.26	1956.019
10059	140	2230.268	1961.963
10059	39	2230.275	1967.907
10059	54	2230.283	1973.85
10059	29	2230.291	1979.794
10059	33	2230.299	1985.738
10064	54	2230.307	1991.681
10064	51	2230.514	1998
10064	52	2230.323	2003.569
10064	52	2230.331	2009.512
10064	79	2230.338	2015.456
10064	147	2230.511	2021.507
10064	37	2230.354	2027.343
10064	73	2230.362	2033.287
10064	51	2230.37	2039.231
10064	60	2230.378	2045.174
10064	60	2230.344	2051.327
10064	31	2230.394	2057.062
10064	123	2230.508	2063.473
10064	35	2230.495	2069
10064	62	2230.417	2074.893
10064	68	2230.425	2080.836
10064	18	2230.433	2086.78
10064	63	2230.441	2092.724
10064	30	2230.448	2098.667
10064	55	2230.457	2104.611
10066	62	2230.325	2110.651
10066	50	2230.472	2116.498
10066	45	2230.48	2122.442
10066	24	2230.488	2128.386
10066	51	2222.73	199.6871
10066	43	2222.738	205.6308
10066	70	2222.746	211.5744
10066	50	2222.761	223.4618
10066	48	2222.777	235.3491
10066	24	2223	241.429
10066	30	2222.793	247.2365
10066	51	2222.801	253.1801
10066	71	2222.809	259.1238
10066	55	2222.816	265.0675
10066	61	2222.824	271.0111
10066	37	2222.552	277
10066	32	2222.84	282.8985
10066	32	2222.55	288.5327
10066	33	2222.856	294.7858
10066	84	2222.864	300.7295
10066	66	2222.872	306.6732
10066	46	2223.285	312.3975
10066	46	2222.887	318.5605
10066	70	2222.895	324.5042
10066	44	2222.972	330.468
10066	62	2222.911	336.3915
10068	43	2222.919	342.3352
10068	50	2222.927	348.2788
10068	78	2222.935	354.2225
10068	78	2222.693	360.3329
10068	59	2222.95	366.1098
10068	39	2222.958	372.0535
10068	42	2222.966	377.9972
10068	55	2222.974	383.9409
10068	51	2222.982	389.8845
10068	45	2222.707	395.416
10068	66	2222.998	401.7719
10068	57	2223.005	407.7155
10068	57	2223.013	413.6592
10068	73	2223.528	419.4721
10068	65	2223.029	425.5465
10068	72	2223.037	431.4902
10068	246	2223.045	437.4339
10068	117	2223.053	443.3776
10068	37	2223	449.5107
10068	39	2223.068	455.2649
10068	54	2223.076	461.2086
10068	31	2223.084	467.1522
10070	10	2223.092	473.0959
10070	71	2223.448	479.4453
10070	65	2222.7	485.2775
10070	69	2223.116	490.9269
10070	68	2223.321	496.6749
10070	26	2223.131	502.8142
10070	28	2223.139	508.7579
10070	73	2223.147	514.7016
10070	51	2223.155	520.6453
10070	60	2223	526.4771
10070	58	2223.171	532.5326
10070	57	2223.187	544.4199
10070	26	2223.194	550.3636
10070	88	2223.202	556.3073
10070	43	2223.21	562.2509
10070	157	2222.491	568.4911
10070	66	2223.226	574.1383
10070	114	2223.491	580
10070	38	2223.241	586.0256
10070	46	2223.25	591.9693
10072	35	2223.489	597.5223
10072	62	2223.265	603.8566
10072	21	2223.273	609.8003
10072	65	2223.281	615.744
10072	16	2223.289	621.6876
10072	4483	2223.297	627.6313
10072	54	2223.304	633.575
10072	57	2223.313	639.5187
10072	47	2223.32	645.4623
10072	32	2223.328	651.406
10072	40	2223.336	657.3497
10072	44	2223.344	663.2933
10072	82	2223.352	669.237
10072	54	2223.36	675.1807
10072	53	2223.367	681.1243
10072	33	2223.51	687.024
10072	40	2223.383	693.0117
10072	117	2223.391	698.9553
10072	18	2223.407	710.8427
10075	71	2223.415	716.7864
10075	38	2223.423	722.73
10075	57	2223.509	728.5413
10075	49	2223.438	734.6174
10075	40	2223.446	740.561
10075	48	2223	746.453
10075	51	2223.462	752.4484
10075	38	2223.554	758.4862
10075	86	2223.486	770.2794
10075	80	2223.493	776.223
10075	44	2223.501	782.1667
10075	57	2223.509	788.1104
10075	29	2223.517	794.0541
10075	97	2223.525	799.9977
10075	54	2223.533	805.9414
10075	56	2223.541	811.8851
10079	1024	2223.549	817.8287
10079	901	2223.556	823.7724
10079	899	2223.564	829.7161
10079	1193	2223.504	836
10079	822	2223.58	841.6034
10079	725	2223.588	847.5471
10079	681	2223.596	853.4908
10079	811	2223.604	859.4344
10079	1209	2223.612	865.3781
10079	860	2223.619	871.3218
10079	1213	2223.627	877.2654
10079	991	2223.635	883.2091
10079	923	2223.643	889.1528
10079	901	2223.651	895.0964
10079	932	2223.535	901.0074
10079	1091	2223.667	906.9838
10079	1366	2223.665	913.3489
10082	29	2223.682	918.8711
10082	33	2223.69	924.8148
10082	52	2223.698	930.7585
10082	120	2223.706	936.7021
10082	35	2223.714	942.6458
10082	114	2223.722	948.5895
10082	52	2223.729	954.5331
10082	73	2223.738	960.4768
10082	60	2223.66	966.3071
10082	37	2223.753	972.3641
10082	40	2223.761	978.3078
10082	48	2223.769	984.2515
10082	44	2223.777	990.1951
10082	68	2224	996.4924
10082	42	2223.792	1002.083
10082	35	2223.801	1008.026
10082	55	2223.808	1013.97
10082	41	2223.816	1019.914
10082	46	2223.824	1025.857
10082	36	2223.832	1031.801
10082	67	2223.84	1037.745
10082	62	2224.011	1043.536
10086	61	2223.863	1055.576
10086	36	2223.879	1067.463
10086	81	2223.887	1073.406
